document_id,title,filename,source_url,doc_type,topic,page_value
27,Особенности ГИА — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_gia_invalid_57e2385159.txt,https://www.hse.ru/studyspravka/gia_invalid,web,documents,keep
28,Порядок организации и проведения апелляций по результатам государственных аттестационных испытаний (ГИА) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_GIA-apellacia_c98e84c080.txt,https://www.hse.ru/studyspravka/GIA-apellacia,web,documents,keep
29,Порядок повторного прохождения государственных аттестационных испытаний (ГИА) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_GIA-povtor_930774882b.txt,https://www.hse.ru/studyspravka/GIA-povtor,web,documents,keep
30,Отчисление студентов НИУ ВШЭ — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_otch_f2541771ed.txt,https://www.hse.ru/studyspravka/otch,web,documents,keep
31,Восстановление студентов — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vosst_f965ad77ae.txt,https://www.hse.ru/studyspravka/vosst,web,documents,keep
32,Сервис «Завершение обучения» — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_theend_43bd606e6a.txt,https://www.hse.ru/studyspravka/theend,web,documents,keep
33,Последипломные каникулы после прохождения студентами ГИА — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_igaotpusk_d80f0f40d9.txt,https://www.hse.ru/studyspravka/igaotpusk,web,documents,low_value
34,Курсовая работа — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_kursovrab_b6ea385e9b.txt,https://www.hse.ru/studyspravka/kursovrab,web,documents,keep
35,Обучение служением — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_ob_sluzeniem_a8e59ed7a4.txt,https://www.hse.ru/studyspravka/ob_sluzeniem,web,documents,low_value
36,"Выход из академического отпуска, отпуска по беременности и родам и уходу за ребенком для обучающихся НИУ ВШЭ — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»",studyspravka_return_academ_4988846261.txt,https://www.hse.ru/studyspravka/return_academ,web,academic_leave,keep
37,Индивидуальный учебный план (ИУП) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_plan_bb3f29ffe3.txt,https://www.hse.ru/studyspravka/plan,web,documents,keep
38,Академическая мобильность — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_acmob_bc3ddf3780.txt,https://www.hse.ru/studyspravka/acmob,web,academic_leave,low_value
39,Отдельные категории студентов — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_spec_categ_4eae2c4d9e.txt,https://www.hse.ru/studyspravka/spec_categ,web,documents,keep
40,Начало учебы в НИУ ВШЭ-Москва — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_start_5d04e7cf49.txt,https://www.hse.ru/studyspravka/start,web,documents,keep
